uid,participant_age,participant_gender,participant_native,gt,session,attempt,prompt,gen,similarity,cosine_distance,subjective_score,ts
20a99a23f2914f32850553bb6d999f6d,10,Prefer not to say,Yes,conference_room_l.jpg,1,1,"A living room with glass table, some chairs that look old like in a palace, some arches above and a chandalire",logs\gen_images\20a99a23f2914f32850553bb6d999f6d_session1_iter1.png,79,0.4089,,1751886612
20a99a23f2914f32850553bb6d999f6d,10,Prefer not to say,Yes,conference_room_l.jpg,1,2,"a conference room, in a fancy hotel, red chairs around a glass table,  chandalier in the top left corner, arched doorways, wooden doors, style of 1990",logs\gen_images\20a99a23f2914f32850553bb6d999f6d_session1_iter2.png,88,0.2262,5,1751887480
20a99a23f2914f32850553bb6d999f6d,10,Prefer not to say,Yes,conference_room_l.jpg,1,3,"a conference room, warm lighting, picture taken in the left corner, in a fancy hotel, four red chairs around a glass table,  chandalier in the top left corner, arched doorways, wooden doors, style of 1990",logs\gen_images\20a99a23f2914f32850553bb6d999f6d_session1_iter3.png,86,0.2746,1,1751887674
20a99a23f2914f32850553bb6d999f6d,10,Prefer not to say,Yes,conference_room_l.jpg,1,4,"a small conference room, warm lighting, viewed from the left corner, in a semi fancy hotel, two large windows to the right of the table, four red chairs 
around a glass table,  chandalier in the top left corner, arched doorways, wooden doors, style of 1990",logs\gen_images\20a99a23f2914f32850553bb6d999f6d_session1_iter4.png,85,0.2954,5,1751887775
