uid,participant_age,participant_gender,participant_native,gt,session,attempt,prompt,gen,similarity,cosine_distance,subjective_score,ts
d5c902f89c7347fb8110ca8ff4406f8k,55,Prefer not to say,Yes,street_l.jpg,1,1,a road with a city background ,images\d5c902f89c7347fb8110ca8ff4406f8d_session1_iter1.png,79,0.404,,1751461367
d5c902f89c7347fb8110ca8ff4406f8k,55,Prefer not to say,Yes,street_l.jpg,2,1,"a road with a city background, the road is on a bridge",images\d5c902f89c7347fb8110ca8ff4406f8d_session1_iter2.png,70,0.3847,4,1751461425
d5c902f89c7347fb8110ca8ff4406f8k,55,Prefer not to say,Yes,street_l.jpg,2,2,"a road with a city background, the road is on a bridge, the left side of the road should  be in the middle with trees on teh right side of the picture",images\d5c902f89c7347fb8110ca8ff4406f8d_session1_iter3.png,90,0.4765,3,1751461503
d5c902f89c7347fb8110ca8ff4406f8k,55,Prefer not to say,Yes,street_l.jpg,3,1,"a road with a city background, the road is on a bridge, the left side of the road should  be in the middle with trees on the left side of the picture",images\d5c902f89c7347fb8110ca8ff4406f8d_session1_iter4.png,30,0.5185,5,1751461804
d5c902f89c7347fb8110ca8ff4406f8k,55,Prefer not to say,Yes,kitchen_h.jpg,3,2,a kitchen with a wooden island in the middle windows with drapes and a ventilator on the ceiling,images\d5c902f89c7347fb8110ca8ff4406f8d_session2_iter1.png,70,0.6156,2,1751461944
d5c902f89c7347fb8110ca8ff4406f8k,55,Prefer not to say,Yes,kitchen_h.jpg,3,3,"a kitchen with a wooden island in the middle windows with drapes and a ventilator on the ceiling, the view is from the angle of the room",images\d5c902f89c7347fb8110ca8ff4406f8d_session2_iter2.png,80,0.5506,2,1751462011
